scenario,initial_capacity,time,capacity,substitute_share
repair intervention,0.15,67.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,68.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,69.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,70.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,71.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,72.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,73.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,74.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,75.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,76.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,77.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,78.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,79.0,0.8675492920867176,0.0076387931148251135
repair intervention,0.15,80.0,0.8675492920867176,0.0076387931148251135
self-correcting,0.15,0.0,0.15,0.9898592419558198
self-correcting,0.15,1.0,0.2262300898669872,0.978094729974778
self-correcting,0.15,2.0,0.3217186394205687,0.9437028145472574
self-correcting,0.15,3.0,0.4581739064193398,0.8052028888357591
self-correcting,0.15,4.0,0.6453655430340038,0.3771998631993433
self-correcting,0.15,5.0,0.7895546439159127,0.12123031833586638
self-correcting,0.15,6.0,0.8311272844621633,0.08261272866902894
self-correcting,0.15,7.0,0.8381600504552323,0.07730628260854738
self-correcting,0.15,8.0,0.8392111590866499,0.07654053103229247
self-correcting,0.15,9.0,0.8393651560211912,0.07642892743839776
self-correcting,0.15,10.0,0.8393876513848529,0.07641263725367875
self-correcting,0.15,11.0,0.8393909360124324,0.07641025893269754
self-correcting,0.15,12.0,0.8393914155822253,0.07640991169325752
self-correcting,0.15,13.0,0.8393914856008375,0.07640986099539039
self-correcting,0.15,14.0,0.839391495823749,0.0764098535933639
self-correcting,0.15,15.0,0.8393914973163218,0.07640985251264791
self-correcting,0.15,16.0,0.8393914975342418,0.0764098523548603
self-correcting,0.15,17.0,0.8393914975660586,0.07640985233182296
self-correcting,0.15,18.0,0.839391497570704,0.0764098523284594
self-correcting,0.15,19.0,0.8393914975713822,0.07640985232796833
self-correcting,0.15,20.0,0.8393914975714811,0.07640985232789668
self-correcting,0.15,21.0,0.8393914975714956,0.07640985232788625
self-correcting,0.15,22.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,23.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,24.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,25.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,26.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,27.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,28.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,29.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,30.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,31.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,32.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,33.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,34.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,35.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,36.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,37.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,38.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,39.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,40.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,41.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,42.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,43.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,44.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,45.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,46.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,47.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,48.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,49.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,50.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,51.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,52.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,53.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,54.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,55.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,56.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,57.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,58.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,59.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,60.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,61.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,62.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,63.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,64.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,65.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,66.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,67.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,68.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,69.0,0.8393914975714976,0.07640985232788475
self-correcting,0.15,70.0,0.8393914975714976,0.07640985232788475
