selection_metric,competition_intensity,time,bridge_share,bridge_capacity,sink_capacity,bridge_selection_score,sink_selection_score,bridge_material_growth,sink_material_growth,mean_material_growth,population_mass
engagement proxy,1.2,3.0,0.4537883933141207,0.4581739064193398,0.13074540539071217,0.8052028888357591,0.9997665866605013,-0.01971768116826998,-0.04714593914297732,-0.03469931402522966,0.8827030976599693
engagement proxy,1.2,4.0,0.34530156335313295,0.6453655430340038,0.12475438695298431,0.3771998631993433,0.999790386378143,0.008633938054066499,-0.047506352237946664,-0.028121022233015807,0.8557077539179244
engagement proxy,1.2,5.0,0.17026326159315514,0.7895546439159127,0.11917108652487203,0.12123031833586638,0.9998103770217917,0.02752406590152011,-0.04784214988937935,-0.03501005217488725,0.830038643100558
engagement proxy,1.2,6.0,0.06350895083077854,0.8311272844621633,0.11407412406987848,0.08261272866902894,0.9998269572977312,0.031563127920968645,-0.04814863084771654,-0.04308622067944123,0.7980835910915015
engagement proxy,1.2,7.0,0.02135822714134007,0.8381600504552323,0.10951038982060503,0.07730628260854738,0.9998405691694898,0.03219735172297204,-0.04842299937754329,-0.0467010916065239,0.7629037465530835
engagement proxy,1.2,8.0,0.006940980787671905,0.8392111590866499,0.10549605158479475,0.07654053103229247,0.9998516545303976,0.03229104830390729,-0.04866430308612822,-0.04810239354747076,0.727532305407194
engagement proxy,1.2,9.0,0.0022311375032293456,0.8393651560211912,0.10202088935468404,0.07642892743839776,0.9998606266584052,0.03230475226373557,-0.04887317170505517,-0.0486920525944541,0.6931444190327676
engagement proxy,1.2,10.0,0.0007146963075338145,0.8393876513848529,0.09905453721912168,0.07641263725367875,0.9998678546279998,0.03230675359294402,-0.04905144195197269,-0.04899329555002912,0.6600987447823135
engagement proxy,1.2,11.0,0.00022868320781524413,0.8393909360124324,0.09655322225896038,0.07641025893269754,0.9998736573938865,0.032307045803438045,-0.04920175296021784,-0.049183113266651396,0.628477433828436
engagement proxy,1.2,12.0,7.314615088142428e-05,0.8393914155822253,0.09446593267967208,0.07640991169325752,0.9998783041771583,0.03230708846720321,-0.04932717620630601,-0.04932120497406511,0.598273679269087
engagement proxy,1.2,13.0,2.3393630930903064e-05,0.8393914856008375,0.09273940801995548,0.07640986099539039,0.9998820184046836,0.032307094696234634,-0.04943091625499002,-0.0494290041061288,0.5694516334257782
engagement proxy,1.2,14.0,7.481460243626847e-06,0.839391495823749,0.09132175553659794,0.0764098535933639,0.9998849832631878,0.03230709560569038,-0.04951609399833163,-0.049515481841391595,0.5419654376549533
engagement proxy,1.2,15.0,2.392592077738108e-06,0.8393914973163218,0.0901647789402422,0.07640985251264791,0.999887347652545,0.03230709573847339,-0.049585607169687275,-0.04958541123385507,0.5157655517445905
engagement proxy,1.2,16.0,7.651528194022575e-07,0.8393914975342418,0.08922525186829317,0.0764098523548603,0.9998892318607592,0.032307095757860095,-0.04964205416233278,-0.04964199145870967,0.4908011319805805
engagement proxy,1.2,17.0,2.4469565695210705e-07,0.8393914975660586,0.08846541091833446,0.07640985233182296,0.9998907326383918,0.032307095760690595,-0.0496877046504356,-0.049687684586664047,0.46702113226365016
engagement proxy,1.2,18.0,7.82534389240453e-08,0.839391497570704,0.08785292299998354,0.0764098523284594,0.9998919275633359,0.03230709576110386,-0.04972450172253442,-0.04972449530327982,0.4443749434800653
engagement proxy,1.2,19.0,2.502533835955177e-08,0.8393914975713822,0.08736053343384034,0.07640985232796833,0.9998928787030527,0.0323070957611642,-0.04975408314209168,-0.049754081088482914,0.4228128242292648
engagement proxy,1.2,20.0,8.00305857734421e-09,0.8393914975714811,0.08696554694839755,0.07640985232789668,0.9998936356373395,0.032307095761173,-0.049777812608589725,-0.049777811951659395,0.40228620800197273
engagement proxy,1.2,21.0,2.559361616321157e-09,0.8393914975714956,0.08664924519418526,0.07640985232788625,0.9998942379258511,0.032307095761174284,-0.04979681480538292,-0.049796814595249324,0.382747922007542
engagement proxy,1.2,22.0,8.184779966566856e-10,0.8393914975714976,0.0863963060272644,0.07640985232788475,0.9998947171072163,0.032307095761174465,-0.04981201032265278,-0.0498120102554401,0.36415233758974913
engagement proxy,1.2,23.0,2.61747249503365e-10,0.8393914975714976,0.0861942619245578,0.07640985232788475,0.9998950983102336,0.032307095761174465,-0.04982414821693588,-0.04982414819543825,0.3464554667148968
engagement proxy,1.2,24.0,8.370608989912948e-11,0.8393914975714976,0.08603301593684122,0.07640985232788475,0.9998954015476965,0.032307095761174465,-0.04983383510569739,-0.049833835098821694,0.3296150162202362
engagement proxy,1.2,25.0,2.6768980656595715e-11,0.8393914975714976,0.08590442148278551,0.07640985232788475,0.9998956427526959,0.032307095761174465,-0.049841560421140706,-0.049841560418941666,0.31359040945433875
engagement proxy,1.2,26.0,8.560645095753248e-12,0.8393914975714976,0.08580192507995567,0.07640985232788475,0.9998958346071329,0.032307095761174465,-0.04984771787948798,-0.049847717878784684,0.29834278317920115
engagement proxy,1.2,27.0,2.737669743143915e-12,0.8393914975714976,0.08572026720481259,0.07640985232788475,0.9998959872032318,0.032307095761174465,-0.04985262345584052,-0.04985262345561559,0.28383496606610364
engagement proxy,1.2,28.0,8.754987775598368e-13,0.8393914975714976,0.08565523468842301,0.07640985232788475,0.9998961085712029,0.032307095761174465,-0.04985653026154274,-0.049856530261470806,0.27003144380269667
engagement proxy,1.2,29.0,2.799819098683447e-13,0.8393914975714976,0.08560345755655156,0.07640985232788475,0.9998962050998413,0.032307095761174465,-0.049859640750600565,-0.049859640750577555,0.2568983147335246
engagement proxy,1.2,30.0,8.953737369122405e-14,0.8393914975714976,0.08556224345594267,0.07640985232788475,0.9998962818716066,0.032307095761174465,-0.0498621166675077,-0.049862116667500345,0.2444032390636061
engagement proxy,1.2,31.0,2.86337806198249e-14,0.8393914975714976,0.08552944341612646,0.07640985232788475,0.9998963429294632,0.032307095761174465,-0.04986408711221094,-0.04986408711220859,0.232515383939995
engagement proxy,1.2,32.0,9.156995583159544e-15,0.8393914975714976,0.08550334345874921,0.07640985232788475,0.9998963914893184,0.032307095761174465,-0.049865655052047785,-0.049865655052047035,0.22120536616186112
engagement proxy,1.2,33.0,2.928379055970506e-15,0.8393914975714976,0.0854825773562103,0.07640985232788475,0.9998964301091068,0.032307095761174465,-0.04986690256299165,-0.04986690256299141,0.21044519382878757
engagement proxy,1.2,34.0,9.364865844246948e-16,0.8393914975714976,0.08546605658869418,0.07640985232788475,0.9998964608233464,0.032307095761174465,-0.04986789503761221,-0.04986789503761214,0.2002082078956843
engagement proxy,1.2,35.0,2.9948550897465075e-16,0.8393914975714976,0.0854529142200984,0.07640985232788475,0.999896485250202,0.032307095761174465,-0.04986868455680218,-0.049868684556802156,0.19046902434041504
engagement proxy,1.2,36.0,9.57745354559468e-17,0.8393914975714976,0.0854424599969365,0.07640985232788475,0.9998965046766636,0.032307095761174465,-0.04986931258725035,-0.049869312587250345,0.18120347744993337
engagement proxy,1.2,37.0,3.0628398247797025e-17,0.8393914975714976,0.0854341444702238,0.07640985232788475,0.9998965201263095,0.032307095761174465,-0.04986981213683895,-0.04986981213683895,0.1723885645786564
