capacity_protection,capacity,substitute_share,drift_slope,stable,interpretation
3.4,0.8441125057935714,2.995883357663548e-22,-1.9631229916000739,True,high state
3.45,0.8441125057935714,1.2348148022276534e-22,-1.9631229916000739,True,high state
3.5,0.8441125057935714,5.0895425948413926e-23,-1.9631229916000739,True,high state
3.55,0.8441125057935714,2.0977594193051942e-23,-1.9631229916000739,True,high state
3.6,0.8441125057935714,8.646345912781856e-24,-1.9631229916000739,True,high state
3.65,0.8441125057935714,3.563768893395804e-24,-1.9631229916000739,True,high state
3.7,0.8441125057935714,1.4688804789501454e-24,-1.9631229916000739,True,high state
3.75,0.8441125057935714,6.054292312386381e-25,-1.9631229916000739,True,high state
3.8,0.8441125057935714,2.4954008123261113e-25,-1.9631229916000739,True,high state
3.85,0.8441125057935714,1.0285306511246501e-25,-1.9631229916000739,True,high state
3.9,0.8441125057935714,4.2393001359840906e-26,-1.9631229916000739,True,high state
3.95,0.8441125057935714,1.747314542673442e-26,-1.9631229916000739,True,high state
4.0,0.8441125057935714,8.75651076269652e-27,-1.9631229916000739,True,high state
